id_pictura#	cale_poza#	denumire#	categorie#	taguri#	disponibilitate#	pret#	dimensiune#	descriere
1#	../../assets/images/pozeBD/1.jpg#	Bufnița Yin-Yang#	1#	bufnita albastru galben abstract#	1#	400#	30x40#	"Bunfița este simbolul înțelepciunii. Culorile calde reprezintă faptele ""bune"" făcute în viață, iar culorile  reci reprezintă faptele  ""rele"" făcute. Pictura reprezintă balanța între bine și rău ."
2#	../../assets/images/pozeBD/2.jpg#	Lupul Alfa#	1#	lup albastru verde abstract#	1#	400#	30x40#	"Lupii trăiesc în haită, iar cel mai înalt statut poartă numele de ""lup alfa"". Lupul din pictură este un lup alfa, care își păzește haita pe timp de noapte."
3#	../../assets/images/pozeBD/3.jpg#	Judging Owl#	1#	bufnita rosu galben real#	0#	250#	20x30#	"Bufnița este simbolul înțelepciunii. Rolul acestei bufnițe este de ""înger păzitor""."
4#	../../assets/images/pozeBD/4.jpg#	Alt tip de padure#	1#	animale albastru portocaliu abstract#	0#	100#	20x20#	Frunzele reprezintă flora, vrăbiile și cerbul reprezintă fauna. Totodată, cerbul este și simbolul vieții.
5#	../../assets/images/pozeBD/5.jpg#	Șoimi#	1#	soim albastru portocaliu#	0#	100#	30x40#	Șoimul este o pasăre puternică, ageră, cu un văz bine dezvoltat. Chiar dacă sunt păsări de pradă, sunt și sensibile și iubitoare.
6#	../../assets/images/pozeBD/6.jpg#	Apus lângă lac#	1#	natura lac albastru portocaliu#	1#	150#	20x20#	Un apus frumos, lângă un lac liniștit.
7#	../../assets/images/pozeBD/7.jpg#	„The night's watch”#	1#	bufnita albastru abstract#	1#	300#	25x20#	Bufnița este simbolul înțelepciunii și aceasta veghează asupra proprietarului. În ceștile de ceai se obișnuia să se citească. Ceainicul conține informatii despre viitor, care îi sunt comunicate bufniței, dar o parte de informații se pierd.
8#	../../assets/images/pozeBD/8.jpg#	„Painting is poetry that is seen rather than felt” #	1#	cal lac maro albastru real#	1#	500#	30x40#	Apa clară reprezintă noroc și sănătate, iar calul merge lângă lac pentru a se liniști.
9#	../../assets/images/pozeBD/9.jpg#	Portretul unui cal de concurs#	1#	cal maro rosu real#	0#	400#	20x30#	Portretul unui cal pregătit de concurs: hotărât, motivat, încrezător.
10#	../../assets/images/pozeBD/10.jpg#	Portretul câștigătorului#	1#	cal maro galben real#	1#	600#	30x30#	Portretul unu cal pregătit pentru locul 1. Nu se văd antrenamentele, eșecurile și câștigurile anterioare.
11#	../../assets/images/pozeBD/11.jpg#	Pasărea Pheonix#	1#	pasare albastru mov galben#	1#	300#	30x40#	Pasărea Phenonix revine din scurm după ce a fost arsă. Pasărea este neagră de la scrum, iar culorile sunt pentru noua viață.
12#	../../assets/images/pozeBD/12.jpg#	Decizia#	1#	camera balena verde rosu abstract#	0#	300#	30x40#	"Pașii conduc de la ""intrarea în cameră"" până la ""momentul deciziei"". Balena reprezintă putere pentru a lua o decizie, cele 3 uși reprezintă variantele de decizie, iar ceasul reprezintă timpul limitat pe care îl avem."
